time/episodes,train/critic_loss,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,train/actor_loss,train/n_updates
16250,11.952032089233398,37,707863,211.27518646000004,8,0.0001,71.09,-56.36922073364258,697862
16260,10.624970436096191,37,708323,200.05993607,20,0.0001,68.21,-50.897491455078125,698322
16270,12.032251358032227,36,708749,188.45303639000002,32,0.0001,65.45,-45.048439025878906,698748
16280,10.370906829833984,35,709261,179.34242888,48,0.0001,62.97,-50.094444274902344,699260
16290,10.077570915222168,35,709823,168.62141977,63,0.0001,59.86,-48.344547271728516,699822
16300,10.395881652832031,36,710410,165.05918631,79,0.0001,59.05,-51.88776397705078,700409
16310,11.062379837036133,36,710967,152.67980641999998,94,0.0001,55.77,-55.158809661865234,700966
16320,16.656728744506836,36,711595,149.23036516,111,0.0001,55.27,-54.71009826660156,701594
16330,14.570782661437988,36,712184,144.66727895999998,126,0.0001,53.88,-58.69496536254883,702183
16340,11.96487045288086,36,712758,141.84705691000002,141,0.0001,52.76,-62.58552169799805,702757
16350,13.424415588378906,36,713417,152.35820902000003,159,0.0001,55.54,-57.684486389160156,703416
16360,13.991174697875977,37,714089,161.01878294,176,0.0001,57.66,-63.7702522277832,704088
16370,13.244128227233887,37,714712,170.44854933999994,192,0.0001,59.63,-62.15335464477539,704711
16380,14.037572860717773,37,715292,172.46909206,207,0.0001,60.31,-63.68449020385742,705291
16390,14.023824691772461,37,715966,175.47549931,225,0.0001,61.43,-63.070762634277344,705965
16400,15.215971946716309,37,716553,173.58754261,240,0.0001,61.43,-63.721012115478516,706552
16410,16.23203468322754,37,717043,173.12975899000006,253,0.0001,60.76,-64.71031188964844,707042
16420,17.14874839782715,37,717593,171.89034317999997,267,0.0001,59.98,-65.80049896240234,707592
16430,17.225534439086914,37,718187,172.19667974999993,283,0.0001,60.03,-66.83061981201172,708186
16440,21.68655014038086,37,718684,167.63670049999996,296,0.0001,59.26,-61.60700607299805,708683
